,title,directors
0,1,Daniel KwanDaniel Scheinert
1,2,Edward Berger
2,3,Darren Aronofsky
3,4,Joseph Kosinski
4,5,Ryan Coogler
5,6,James Cameron
6,7,Sarah Polley
7,8,"Guillermo del Toro
Mark Gustafson"
8,9,Daniel Roher
9,10,Kartiki Gonsalves
10,11,"Tom Berkeley
Ross White"
11,12,"Peter Baynton
Charlie Mackesy"
12,13,S. S. Rajamouli
13,14,Sian Heder
14,15,Denis Villeneuve
15,16,Michael Showalter
16,17,Cary Joji Fukunaga
17,18,Alberto Mielgo
18,19,Sin datos
19,20,Ben Proudfoot
20,21,"Ahmir ""Questlove"" Thompson"
21,22,Ryusuke Hamaguchi
22,23,"Jared Bush
Byron Howard"
23,24,Steven Spielberg
24,25,Kenneth Branagh
25,26,Jane Campion
26,27,Reinaldo Marcus Green
27,28,Craig Gillespie
28,29,Chloé Zhao
29,30,Florian Zeller
30,31,Shaka King
31,32,Lee Isaac Chung
32,33,David Fincher
33,34,Darius Marder
34,35,George C. Wolfe
35,36,Emerald Fennell
36,37,Christopher Nolan
37,38,Pete Docter
38,39,Thomas Vinterberg
39,40,"Pippa Ehrlich
James Reed"
40,41,Anthony Giacchino
41,42,"Will McCormack
Michael Govier"
42,43,"Travon Free
Martin Desmond Roe"
43,44,Bong Joon-ho
44,45,James Mangold
45,46,Carol Dysinger
46,47,Marshall Curry
47,48,Greta Gerwig
48,49,Noah Baumbach
49,50,Taika Waititi
50,51,Josh Cooley
51,52,Todd Phillips
52,53,Quentin Tarantino
53,54,Sam Mendes
54,55,Rupert Goold
55,56,Jay Roach
56,57,Dexter Fletcher
57,58,"Steven Bognar
Julia Reichert"
58,59,"Matthew A. Cherry
Everett Downing Jr.
Bruce W. Smith"
59,60,Peter Farrelly
60,61,Bryan Singer[a]
61,62,Alfonso Cuarón
62,63,Ryan Coogler
63,64,Yorgos Lanthimos
64,65,Bradley Cooper
65,66,Adam McKay
66,67,Spike Lee
67,68,Damien Chazelle
68,69,Barry Jenkins
69,70,Domee Shi
70,71,Elizabeth Chai VasarhelyiJimmy Chin
71,72,Rayka Zehtabchi
72,73,Guy Nattiv
73,74,"Bob Persichetti
Peter Ramsey
Rodney Rothman"
74,75,Guillermo del Toro
75,76,Christopher Nolan
76,77,Martin McDonagh
77,78,Joe Wright
78,79,Denis Villeneuve
79,80,Lee Unkrich
80,81,Paul Thomas Anderson
81,82,Luca Guadagnino
82,83,Jordan Peele
83,84,Craig Gillespie
84,85,Glen Keane
85,86,Sebastián Lelio
86,87,Frank Stiefel
87,88,Bryan Fogel
88,89,Chris Overton
89,90,Alejandro González Iñárritu
90,91,Barry Jenkins
91,92,Damien Chazelle
92,93,Mel Gibson
93,94,Kenneth Lonergan
94,95,Denis Villeneuve
95,96,Denzel Washington
96,97,David Yates
97,98,Jon Favreau
98,99,Ezra Edelman
99,100,Alan Barillaro
100,101,Asghar Farhadi
101,102,Kristóf Deák
102,103,David Ayer
103,104,Orlando von Einsiedel
104,105,"Byron Howard
Rich Moore"
105,106,Tom McCarthy
106,107,George Miller
107,108,Alejandro G. Iñárritu
108,109,Steven Spielberg
109,110,Adam McKay
110,111,Tom Hooper
111,112,Lenny Abrahamson
112,113,Quentin Tarantino
113,114,Alex Garland
114,115,Pete Docter
115,116,Asif Kapadia
116,117,Gabriel Osorio Vargas
117,118,Sharmeen Obaid-Chinoy
118,119,László Nemes
119,120,Sam Mendes
120,121,Benjamin Cleary
121,122,Alejandro González Iñárritu
122,123,Wes Anderson
123,124,Damien Chazelle
124,125,Morten Tyldum
125,126,Clint Eastwood
126,127,Richard Linklater
127,128,Christopher Nolan
128,129,James Marsh
129,130,Paweł Pawlikowski
130,131,Ava DuVernay
131,132,Laura Poitras
132,133,"Don Hall
Chris Williams"
133,134,Ellen Goosenberg Kent
134,135,Mat Kirkby
135,136,"Richard Glatzer
Wash Westmoreland"
136,137,Patrick Osborne
137,138,Steve McQueen
138,139,Alfonso Cuarón
139,140,Jean-Marc Vallée
140,141,"Chris Buck
Jennifer Lee"
141,142,Baz Luhrmann
142,143,Spike Jonze
143,144,Woody Allen
144,145,Laurent WitzAlexandre Espigares
145,146,Malcolm Clarke
146,147,Anders Walter
147,148,Paolo Sorrentino
148,149,Morgan Neville
149,150,Ben Affleck
150,151,Ang Lee
151,152,Tom Hooper
152,153,Steven Spielberg
153,154,Quentin Tarantino
154,155,Sam Mendes
155,156,David O. Russell
156,157,Kathryn Bigelow
157,158,Michael Haneke
158,159,Joe Wright
159,160,John Kahrs
160,161,"Mark Andrews
Brenda Chapman"
161,162,Malik Bendjelloul
162,163,Sean FineAndrea Nix
163,164,Shawn Christensen
164,165,Michel Hazanavicius
165,166,Martin Scorsese
166,167,Phyllida Lloyd
167,168,Alexander Payne
168,169,David Fincher
169,170,Woody Allen
170,171,Tate Taylor
171,172,Asghar Farhadi
172,173,William JoyceBrandon Oldenburg
173,174,Terry George
174,175,Daniel Lindsay T. J. Martin
175,176,James Bobin
176,177,Sharmeen Obaid-Chinoy  Daniel Junge
177,178,Mike Mills
178,179,Gore Verbinski
179,180,Tom Hooper
180,181,Christopher Nolan
181,182,David Fincher
182,183,David O. Russell
183,184,Lee Unkrich
184,185,Tim Burton
185,186,Darren Aronofsky
186,187,Susanne Bier
187,188,Sin datos
188,189,Luke Matheny
189,190,Joe Johnston
190,191,Karen GoodmanKirk Simon
191,192,Charles Ferguson
192,193,Kathryn Bigelow
193,194,James Cameron
194,195,Lee Daniels
195,196,Pete Docter
196,197,Scott Cooper
197,198,Quentin Tarantino
198,199,J. J. Abrams
199,200,Jean-Marc Vallée
200,201,John Lee Hancock
201,202,Roger Ross Williams
202,203,Juan José Campanella
203,204,Louie Psihoyos
204,205,Joachim Back
205,206,François AlauxHervé de CrécyLudovic Houplain
206,207,Danny Boyle  Loveleen Tandan (co-director)
207,208,David Fincher
208,209,Gus Van Sant
209,210,Christopher Nolan
210,211,Andrew Stanton
211,212,Stephen Daldry
212,213,Saul Dibb
213,214,Yōjirō Takita
214,215,Woody Allen
215,216,Megan Mylan
216,217,James Marsh
217,218,Jochen Alexander Freydank
218,219,Kunio Katō
219,220,Joel CoenEthan Coen
220,221,Paul Greengrass
221,222,Paul Thomas Anderson
222,223,Olivier Dahan
223,224,Joe Wright
224,225,Tony Gilroy
225,226,Brad Bird
226,227,Jason Reitman
227,228,Tim Burton
228,229,Chris Weitz
229,230,Shekhar Kapur
230,231,Alex Gibney
231,232,Suzie Templeton
232,233,John Carney
233,234,Philippe Pollet-Villard
234,235,Stefan Ruzowitzky
235,236,Cynthia Wade
236,237,Martin Scorsese
237,238,Guillermo del Toro
238,239,Bill Condon
239,240,Jonathan DaytonValerie Faris
240,241,Davis Guggenheim
241,242,Alejandro González Iñárritu
242,243,Stephen Frears
243,244,Clint Eastwood
244,245,Gore Verbinski
245,246,Torill Kove
246,247,George Miller
247,248,Kevin Macdonald
248,249,Florian Henckel von Donnersmarck
249,250,Sofia Coppola
