,id_title,protagonists
0,1,Michelle Yeoh
1,1,Stephanie Hsu
2,1,Ke Huy Quan
3,1,Jenny Slate
4,1,Harry Shum Jr.
5,1,James Hong
6,1,Jamie Lee Curtis
7,2,Felix Kammerer
8,2,Albrecht Schuch
9,2,Daniel Brühl
10,3,Brendan Fraser
11,3,Sadie Sink
12,3,Hong Chau
13,3,Ty Simpkins
14,3,Samantha Morton
15,4,Tom Cruise
16,4,Miles Teller
17,4,Jennifer Connelly
18,4,Jon Hamm
19,4,Glen Powell
20,4,Lewis Pullman
21,4,Ed Harris
22,4,Val Kilmer
23,5,Letitia Wright
24,5,Lupita Nyong'o
25,5,Danai Gurira
26,5,Winston Duke
27,5,Florence Kasumba
28,5,Dominique Thorne
29,5,Michaela Coel
30,5,Mabel Cadena
31,5,Tenoch Huerta Mejía
32,5,Martin Freeman
33,5,Julia Louis-Dreyfus
34,5,Angela Bassett
35,6,Sam Worthington
36,6,Zoe Saldaña
37,6,Sigourney Weaver
38,6,Stephen Lang
39,6,Kate Winslet
40,7,Rooney Mara
41,7,Claire Foy
42,7,Jessie Buckley
43,7,Judith Ivey
44,7,Ben Whishaw
45,7,Frances McDormand
46,8,Ewan McGregor
47,8,David Bradley
48,8,Gregory Mann
49,8,Burn Gorman
50,8,Ron Perlman
51,8,John Turturro
52,8,Finn Wolfhard
53,8,Cate Blanchett
54,8,Tim Blake Nelson
55,8,Christoph Waltz
56,8,Tilda Swinton
57,9,Alexei Navalny
58,9,Yulia Navalnaya
59,9,Maria Pevchikh
60,9,Christo Grozev
61,9,Leonid Volkov
62,10,Sin datos
63,11,James Martin
64,11,Seamus O'Hara
65,11,Paddy Jenkins
66,11,Michelle Fairley
67,12,Jude Coward Nicoll
68,12,Gabriel Byrne
69,12,Idris Elba
70,12,Tom Hollander
71,13,N. T. Rama Rao Jr.
72,13,Ram Charan
73,13,Ajay Devgn
74,13,Alia Bhatt
75,13,Shriya Saran
76,13,Samuthirakani
77,13,Ray Stevenson
78,13,Alison Doody
79,13,Olivia Morris
80,14,Emilia Jones
81,14,Eugenio Derbez
82,14,Troy Kotsur
83,14,Ferdia Walsh-Peelo
84,14,Daniel Durant
85,14,Marlee Matlin
86,15,Timothée Chalamet
87,15,Rebecca Ferguson
88,15,Oscar Isaac
89,15,Josh Brolin
90,15,Stellan Skarsgård
91,15,Dave Bautista
92,15,Stephen McKinley Henderson
93,15,Zendaya
94,15,David Dastmalchian
95,15,Chang Chen
96,15,Sharon Duncan-Brewster
