,title,duration
0,1,139 minutes[1]
1,2,147 minutes[1]
2,3,117 minutes[1]
3,4,130 minutes[2]
4,5,161 minutes[1]
5,6,192 minutes[1]
6,7,104 minutes[1]
7,8,117 minutes[3]
8,9,98 minutes
9,10,39 minutes
10,11,23 minutes
11,12,34 minutes
12,13,182 minutes[1][2]
13,14,111 minutes
14,15,155 minutes[1]
15,16,126 minutes[1]
16,17,163 minutes
17,18,14 minutes
18,19,Sin datos
19,20,22 minutes
20,21,117 minutes
21,22,179 minutes
22,23,102 minutes[1]
23,24,156 minutes[5]
24,25,97 minutes[1]
25,26,126 minutes[1]
26,27,145 minutes
27,28,134 minutes[4]
28,29,108 minutes[2]
29,30,97 minutes[2]
30,31,126 minutes
31,32,115 minutes[1]
32,33,131 minutes[2]
33,34,120 minutes
34,35,94 minutes[1]
35,36,113 minutes
36,37,150 minutes
37,38,101 minutes
38,39,116 minutes[1]
39,40,85 minutes
40,41,24 minutes
41,42,12 minutes
42,43,32 minutes
43,44,132 minutes[3][4]
44,45,152 minutes[2]
45,46,39 minutes
46,47,20 minutes
47,48,135 minutes[1]
48,49,137 minutes[2]
49,50,108 minutes
50,51,100 minutes[1]
51,52,122 minutes[1]
52,53,161 minutes[1]
53,54,119 minutes[1]
54,55,118 minutes
55,56,109 minutes[1]
56,57,121 minutes[1]
57,58,110 minutes
58,59,6 minutes
59,60,130 minutes[3]
60,61,134 minutes[2]
61,62,135 minutes[9]
62,63,134 minutes[1]
63,64,120 minutes[3]
64,65,136 minutes[5]
65,66,132 minutes
66,67,135 minutes[1]
67,68,141 minutes[1]
68,69,117 minutes[1]
69,70,8 minutes
70,71,100 minutes
71,72,25 minutes
72,73,20 minutes
73,74,117 minutes[1]
74,75,123 minutes[1]
75,76,106 minutes[4]
76,77,115 minutes[2]
77,78,125 minutes[2]
78,79,163 minutes[4]
79,80,105 minutes[4]
80,81,130 minutes[2]
81,82,132 minutes[1]
82,83,104 minutes
83,84,120 minutes[2]
84,85,5 minutes
85,86,104 minutes
86,87,40 minutes
87,88,121 minutes
88,89,20 minutes
89,90,7 minutes
90,91,111 minutes[1]
91,92,128 minutes[2]
92,93,139 minutes[2]
93,94,137 minutes[1]
94,95,116 minutes[1]
95,96,139 minutes[1]
96,97,133 minutes[2]
97,98,106 minutes
98,99,467 minutes[1]
99,100,6 minutes[1]
100,101,125 minutes
101,102,25 minutes[1]
102,103,123 minutes[1]
103,104,40 minutes
104,105,108 minutes[2][3]
105,106,129 minutes[1]
106,107,120 minutes[4]
107,108,156 minutes[1]
108,109,141 minutes[4][5]
109,110,130 minutes[1]
110,111,120 minutes[2]
111,112,118 minutes[1]
112,113,"187 minutes (Roadshow)
168 minutes (General)"
113,114,108 minutes[2]
114,115,95 minutes
115,116,128 minutes[1]
116,117,11 minutes
117,118,40 minutes
118,119,107 minutes[1]
119,120,148 minutes[3]
120,121,12 minutes
121,122,119 minutes[1]
122,123,100 minutes[2]
123,124,106 minutes[1]
124,125,115 minutes[1]
125,126,132 minutes[1][2]
126,127,165 minutes[1]
127,128,169 minutes[1]
128,129,123 minutes[1][4]
129,130,82 minutes[1]
130,131,128 minutes[2]
131,132,113 minutes[2]
132,133,102 minutes[1][2]
133,134,40 minutes
134,135,20 minutes
135,136,101 minutes[1]
136,137,6 minutes[4]
137,138,134 minutes[4]
138,139,91 minutes[1]
139,140,117 minutes
140,141,102 minutes[2]
141,142,142 minutes[1]
142,143,126 minutes[1]
143,144,98 minutes[1]
144,145,11 minutes
145,146,39 minutes
146,147,23 minutes
147,148,"142 minutes
173 minutes (director's cut)"
148,149,90 minutes[1]
149,150,120 minutes[1]
150,151,127 minutes
151,152,158 minutes[4]
152,153,150 minutes[5]
153,154,165 minutes[4]
154,155,143 minutes[2]
155,156,122 minutes[1]
156,157,157 minutes[2]
157,158,127 minutes[1][2]
158,159,130 minutes[1]
159,160,6 minutes and 33 seconds[2]
160,161,93 minutes[1]
161,162,86 minutes
162,163,40 minutes
163,164,19 minutes
164,165,100 minutes[1]
165,166,126 minutes[1]
166,167,104 minutes[2]
167,168,115 minutes[2]
168,169,158 minutes[1]
169,170,94 minutes[2]
170,171,146 minutes
171,172,123 minutes[1]
172,173,15 minutes
173,174,29 minutes
174,175,113 minutes
175,176,103 minutes[3]
176,177,40 min
177,178,104 minutes[1]
178,179,107 minutes
179,180,119 minutes[4]
180,181,148 minutes[1]
181,182,120 minutes[2]
182,183,116 minutes[1][2][3]
183,184,103 minutes[1]
184,185,108 minutes
185,186,108 minutes[1]
186,187,118 minutes[1]
187,188,Sin datos
188,189,18 minutes
189,190,103 minutes[1]
190,191,40 minutes
191,192,108 minutes
192,193,131 minutes
193,194,162 minutes[3]
194,195,110 minutes
195,196,96 minutes
196,197,112 minutes[2]
197,198,153 minutes[1]
198,199,127 minutes[1]
199,200,105 minutes
200,201,126 minutes[1]
201,202,33 minutes
